filename,file_path,pdf_url,source_url,download_date,status,title,author,subject,keywords,creator,producer,creationDate,modDate
2-3-42.pdf,files/www.pcahistory.org_HCLibrary_articles_index.html/2-3-42.pdf,https://www.pcahistory.org/HCLibrary/periodicals/pg/2-3-42.pdf,https://www.pcahistory.org/HCLibrary/articles/index.html,2025-07-12T14:19:45.547573,downloaded,,https://www.pcahistory.org/HCLibrary/periodicals/pg/2-3-42.pdf,Downloaded from https://www.pcahistory.org/HCLibrary/articles/index.html,web_scraper_download,Adobe Photoshop Elements 2.0,Adobe Photoshop Elements for Windows,D:20090421093802-06'00',D:20090421093802-06'00'
2002_racial_reconciliation.pdf,files/www.pcahistory.org_topical_index.html/2002_racial_reconciliation.pdf,https://www.pcahistory.org/topical/race/2002_racial_reconciliation.pdf,https://www.pcahistory.org/topical/index.html,2025-07-12T14:19:46.289510,downloaded,,https://www.pcahistory.org/topical/race/2002_racial_reconciliation.pdf,Downloaded from https://www.pcahistory.org/topical/index.html,web_scraper_download,,ABBYY FineReader 11,D:20210428143107-05'00',D:20210428143220-05'00'
assembly_actions.pdf,files/www.pcahistory.org_pca_digest_index.html/assembly_actions.pdf,https://www.pcahistory.org/pca/digest/v1/assembly_actions.pdf,https://www.pcahistory.org/pca/digest/index.html,2025-07-12T14:19:47.922024,downloaded,,https://www.pcahistory.org/pca/digest/v1/assembly_actions.pdf,Downloaded from https://www.pcahistory.org/pca/digest/index.html,web_scraper_download,ScandAll PRO V1.7 Update 3,Adobe Acrobat 9.55 Paper Capture Plug-in,D:20200430083643-05'00',D:20200430093150-05'00'
2002_racial_reconciliation.pdf,files/www.pcahistory.org_pca_digest_index.html/2002_racial_reconciliation.pdf,https://www.pcahistory.org/pca/digest/studies/2002_racial_reconciliation.pdf,https://www.pcahistory.org/pca/digest/index.html,2025-07-12T14:19:48.275443,downloaded,,https://www.pcahistory.org/pca/digest/studies/2002_racial_reconciliation.pdf,Downloaded from https://www.pcahistory.org/pca/digest/index.html,web_scraper_download,,ABBYY FineReader 11,D:20210428143107-05'00',D:20210428143220-05'00'
2015_Personal Resolution on Civil Rights Remembrance.pdf,files/www.pcahistory.org_topical_race_index.html/2015_Personal Resolution on Civil Rights Remembrance.pdf,https://www.pcahistory.org/topical/race/2015_Personal Resolution on Civil Rights Remembrance.pdf,https://www.pcahistory.org/topical/race/index.html,2025-07-12T14:19:48.413349,downloaded,,https://www.pcahistory.org/topical/race/2015_Personal Resolution on Civil Rights Remembrance.pdf,Downloaded from https://www.pcahistory.org/topical/race/index.html,web_scraper_download,Acrobat PDFMaker 9.1 for Word,Adobe PDF Library 9.0,D:20150617103146-05'00',D:20150617103203-05'00'
Ward_Samuel_S_1912-2012.pdf,files/www.pcahistory.org_obits_index.html/Ward_Samuel_S_1912-2012.pdf,https://www.pcahistory.org/obits/Ward_Samuel_S_1912-2012.pdf,https://www.pcahistory.org/obits/index.html,2025-07-12T14:19:48.661009,downloaded,,https://www.pcahistory.org/obits/Ward_Samuel_S_1912-2012.pdf,Downloaded from https://www.pcahistory.org/obits/index.html,web_scraper_download,,Adobe Acrobat 9.55 Paper Capture Plug-in,D:20210506165323-05'00',D:20210506170337-05'00'
authortitle.pdf,files/www.pcahistory.org_HCLibrary_index.html/authortitle.pdf,https://www.pcahistory.org/HCLibrary/periodicals/tpq/authortitle.pdf,https://www.pcahistory.org/HCLibrary/index.html,2025-07-12T14:19:48.967756,downloaded,The Presbyterian Quarterly – Author/Title Index,https://www.pcahistory.org/HCLibrary/periodicals/tpq/authortitle.pdf,Downloaded from https://www.pcahistory.org/HCLibrary/index.html,web_scraper_download,Acrobat PDFMaker 5.0 for Word,Acrobat Distiller 5.0 (Windows),D:20031020190152-05'00',D:20031020190206-04'00'
2-561.pdf,files/www.pcahistory.org_pca_digest_index.html/2-561.pdf,https://www.pcahistory.org/pca/digest/studies/2-561.pdf,https://www.pcahistory.org/pca/digest/index.html,2025-07-12T14:19:49.560680,downloaded,,https://www.pcahistory.org/pca/digest/studies/2-561.pdf,Downloaded from https://www.pcahistory.org/pca/digest/index.html,web_scraper_download,,ABBYY FineReader 11,D:20210428144623-05'00',D:20210428144912-05'00'
RayburnLS_1923-2012.pdf,files/www.pcahistory.org_obits_index.html/RayburnLS_1923-2012.pdf,https://www.pcahistory.org/obits/RayburnLS_1923-2012.pdf,https://www.pcahistory.org/obits/index.html,2025-07-12T14:19:49.948117,downloaded,,https://www.pcahistory.org/obits/RayburnLS_1923-2012.pdf,Downloaded from https://www.pcahistory.org/obits/index.html,web_scraper_download,,Adobe Acrobat 9.55 Paper Capture Plug-in,D:20231009094511-05'00',D:20231009094534-05'00'
2019-11_Crouse_v_NWGeorgia.pdf,files/www.pcahistory.org_pca_sjc_2015-2019.html/2019-11_Crouse_v_NWGeorgia.pdf,https://www.pcahistory.org/pca/sjc/cases/2019-11_Crouse_v_NWGeorgia.pdf,https://www.pcahistory.org/pca/sjc/2015-2019.html,2025-07-12T14:19:50.672532,downloaded,,https://www.pcahistory.org/pca/sjc/cases/2019-11_Crouse_v_NWGeorgia.pdf,Downloaded from https://www.pcahistory.org/pca/sjc/2015-2019.html,web_scraper_download,Microsoft® Word 2016,Microsoft® Word 2016,D:20240502113344-05'00',D:20240502113416-05'00'
